Date,Close/Last,Volume,Open,High,Low
08/05/2019,$156.78,441418,$158.98,$159.26,$155.51
08/02/2019,$159.48,805338,$161.68,$162.51,$158.60
08/01/2019,$163.00,422787,$162.68,$165.54,$162.55
07/31/2019,$161.08,433773,$162.30,$163.23,$159.73
07/30/2019,$160.14,666170,$160.83,$161.95,$159.81
07/29/2019,$164.68,328991,$165.05,$165.22,$164.36
07/26/2019,$165.85,247995,$165.55,$166.21,$165.27
07/25/2019,$166.27,262777,$167.25,$167.38,$164.725
07/24/2019,$167.51,522039,$168.14,$168.62,$166.72
07/23/2019,$168.43,254947,$168.53,$168.77,$167.78
07/22/2019,$167.10,417700,$167.19,$168.20,$167.00
07/19/2019,$166.50,335993,$167.44,$168.25,$166.36
07/18/2019,$168.70,412780,$168.70,$169.46,$167.2472
07/17/2019,$168.75,302760,$169.51,$170.24,$168.72
07/16/2019,$169.12,441714,$170.07,$170.54,$169.01
07/15/2019,$168.47,346084,$168.09,$168.77,$167.83
07/12/2019,$166.51,245297,$167.04,$167.50,$166.07
07/11/2019,$166.43,242097,$166.70,$167.0082,$166.11
07/10/2019,$167.00,215296,$167.07,$167.52,$166.61
07/09/2019,$165.64,239959,$165.28,$165.71,$165.00
07/08/2019,$165.85,315345,$166.18,$166.50,$165.66
07/05/2019,$165.61,378338,$165.56,$165.9838,$164.65
07/03/2019,$167.51,338129,$168.18,$169.48,$167.16
07/02/2019,$165.12,269617,$164.82,$165.20,$164.37
07/01/2019,$163.19,292580,$162.57,$163.53,$162.50
06/28/2019,$161.42,191202,$161.32,$162.61,$161.20
06/27/2019,$160.86,228984,$158.96,$161.00,$158.94
06/26/2019,$159.50,403189,$159.70,$160.28,$158.76
06/25/2019,$159.74,465614,$161.45,$162.24,$159.12
06/24/2019,$162.21,427645,$162.87,$163.50,$162.10
06/21/2019,$162.21,369079,$161.19,$162.3536,$161.00
06/20/2019,$161.16,659782,$162.05,$163.64,$160.59
06/19/2019,$157.83,335058,$156.85,$158.45,$155.87
06/18/2019,$158.21,290217,$156.58,$158.52,$156.42
06/17/2019,$154.14,222567,$153.46,$154.57,$153.45
06/14/2019,$152.86,196194,$153.22,$153.3133,$152.285
06/13/2019,$154.05,281581,$154.04,$154.48,$153.69
06/12/2019,$154.63,318286,$154.74,$155.54,$154.47
06/11/2019,$154.72,526558,$155.31,$155.54,$153.75
06/10/2019,$153.84,647516,$150.80,$154.17,$150.55
06/07/2019,$150.34,409472,$150.18,$151.34,$149.94
06/06/2019,$148.48,330078,$146.39,$148.71,$146.13
06/05/2019,$144.86,485071,$144.48,$145.43,$143.81
06/04/2019,$143.04,624727,$142.41,$144.15,$141.92
06/03/2019,$141.97,765981,$142.01,$143.05,$140.95
05/31/2019,$143.02,635790,$140.47,$143.42,$140.105
05/30/2019,$143.00,330837,$142.17,$143.08,$142.08
05/29/2019,$143.07,583023,$141.70,$143.25,$140.97
05/28/2019,$144.52,473780,$143.01,$145.13,$143.01
05/24/2019,$144.29,450850,$143.15,$144.56,$142.90
05/23/2019,$142.33,410056,$142.40,$142.56,$140.99
05/22/2019,$142.87,350253,$142.71,$143.70,$142.46
05/21/2019,$143.86,447560,$142.81,$143.98,$142.00
05/20/2019,$141.54,657064,$141.68,$142.24,$140.57
05/17/2019,$142.38,262611,$142.94,$143.95,$142.0455
05/16/2019,$143.66,1008899,$143.04,$144.62,$142.75
05/15/2019,$143.64,528438,$138.77,$144.54,$138.44
05/14/2019,$140.94,958102,$140.56,$142.15,$140.3146
05/13/2019,$138.68,288851,$137.77,$139.04,$137.37
05/10/2019,$141.33,1197211,$141.43,$142.03,$139.515
05/09/2019,$141.16,772583,$141.31,$142.04,$139.44
05/08/2019,$141.04,1554250,$138.51,$142.15,$138.12
05/07/2019,$137.70,862290,$138.31,$139.07,$136.75
05/06/2019,$132.33,837877,$130.25,$133.13,$129.46
05/03/2019,$134.14,264922,$133.93,$135.11,$133.93
05/02/2019,$134.73,304305,$134.82,$135.30,$133.695
05/01/2019,$134.60,165070,$136.14,$136.31,$134.45
04/30/2019,$136.03,210516,$136.04,$136.185,$134.905
04/29/2019,$135.52,691496,$134.57,$136.005,$134.155
04/26/2019,$135.40,273098,$134.77,$135.50,$134.47
04/25/2019,$135.56,237224,$135.49,$136.19,$135.01
04/24/2019,$136.48,449981,$137.27,$137.75,$136.45
04/23/2019,$138.96,622617,$137.65,$139.42,$137.45
04/22/2019,$139.65,581480,$139.91,$140.96,$139.38
04/18/2019,$139.91,534886,$137.34,$140.32,$137.24
04/17/2019,$137.69,484113,$136.89,$138.24,$136.50
04/16/2019,$138.09,325097,$136.05,$138.35,$135.96
04/15/2019,$137.03,270437,$138.00,$138.00,$136.01
04/12/2019,$138.57,292206,$138.86,$139.07,$138.18
04/11/2019,$137.26,189144,$136.91,$137.36,$136.49
04/10/2019,$136.51,207538,$135.81,$137.13,$135.59
04/09/2019,$136.44,184848,$136.28,$136.825,$135.79
04/08/2019,$137.13,516606,$137.12,$137.35,$136.38
04/05/2019,$136.94,255403,$137.49,$138.00,$136.51
04/04/2019,$136.47,347278,$136.81,$136.95,$135.76
04/03/2019,$136.18,242950,$136.65,$137.26,$136.00
04/02/2019,$135.97,281967,$135.17,$136.33,$134.83
04/01/2019,$135.05,554151,$135.74,$136.67,$134.70
03/29/2019,$133.80,344165,$133.79,$134.74,$133.21
03/28/2019,$133.05,354945,$132.97,$133.64,$132.225
03/27/2019,$132.78,386067,$133.89,$134.53,$132.24
03/26/2019,$132.96,305513,$132.00,$133.34,$131.765
03/25/2019,$131.12,232876,$129.92,$131.29,$129.18
03/22/2019,$128.65,411881,$131.05,$131.34,$128.50
03/21/2019,$132.39,167494,$131.88,$132.6183,$131.59
03/20/2019,$131.75,306526,$132.89,$132.89,$131.00
03/19/2019,$131.61,213012,$132.43,$132.70,$131.46
03/18/2019,$132.28,221091,$131.66,$132.455,$131.45
03/15/2019,$131.78,252926,$132.00,$132.20,$131.62
03/14/2019,$131.19,261228,$130.66,$131.25,$129.86
03/13/2019,$130.05,440782,$130.73,$130.88,$129.08
03/12/2019,$130.19,170302,$130.23,$130.71,$129.82
03/11/2019,$130.76,328917,$128.72,$130.88,$128.53
03/08/2019,$128.88,250809,$127.01,$128.99,$126.82
03/07/2019,$128.32,462998,$128.49,$129.06,$127.25
03/06/2019,$130.11,272904,$130.44,$130.607,$129.2719
03/05/2019,$131.76,239480,$130.51,$131.85,$130.3877
03/04/2019,$130.80,411996,$131.80,$132.16,$130.03
03/01/2019,$131.80,452010,$130.29,$131.92,$129.92
02/28/2019,$128.26,261630,$128.13,$128.86,$128.03
02/27/2019,$128.67,271617,$128.59,$129.11,$127.7193
02/26/2019,$129.05,275273,$128.07,$129.728,$128.03
02/25/2019,$128.04,441913,$127.13,$128.27,$126.77
02/22/2019,$126.03,325627,$126.25,$126.59,$125.65
02/21/2019,$126.30,188194,$125.60,$126.73,$125.53
02/20/2019,$125.77,221382,$126.32,$126.74,$125.57
02/19/2019,$126.37,155124,$125.74,$126.91,$125.73
02/15/2019,$125.98,430004,$125.68,$126.40,$125.3008
02/14/2019,$125.06,313698,$124.50,$125.51,$124.16
02/13/2019,$125.25,317025,$125.81,$126.15,$124.96
02/12/2019,$126.44,745156,$124.10,$126.685,$124.10
